Date,Time,Temperature,Humidity
01/21/21,20:29,22.6*C,36.4%
01/21/21,20:30,23.1*C,36.1%
01/21/21,20:30,23.1*C,36.5%
01/21/21,20:31,23.2*C,36.3%
01/21/21,20:31,23.2*C,36.0%
01/21/21,20:32,23.2*C,37.3%
01/21/21,20:32,23.2*C,37.2%
01/21/21,20:33,23.2*C,36.9%
01/21/21,20:33,23.2*C,35.8%
01/21/21,20:34,23.3*C,37.5%
01/21/21,20:34,23.4*C,36.3%
01/21/21,20:35,23.5*C,36.1%
01/21/21,20:35,23.5*C,36.0%
01/21/21,20:36,23.6*C,35.8%
01/21/21,20:36,23.6*C,35.8%
01/21/21,20:37,23.6*C,35.5%
01/21/21,20:37,23.6*C,35.3%
01/21/21,20:38,23.7*C,35.3%
01/21/21,20:38,23.7*C,35.3%
01/21/21,20:39,23.7*C,35.3%
01/21/21,20:39,23.7*C,35.2%
01/21/21,20:40,23.7*C,35.2%
01/21/21,20:40,23.8*C,35.1%
01/21/21,20:41,23.8*C,35.1%
01/21/21,20:41,23.8*C,35.1%
01/21/21,20:42,23.8*C,35.1%
01/21/21,20:42,23.8*C,35.1%
01/21/21,20:43,23.8*C,35.1%
01/21/21,20:43,23.8*C,34.9%
01/21/21,20:44,23.8*C,35.1%
01/21/21,20:44,23.8*C,35.0%
01/21/21,20:45,23.8*C,35.0%
01/21/21,20:45,23.9*C,35.0%
01/21/21,20:46,23.9*C,35.0%
01/21/21,20:46,23.9*C,35.0%
01/21/21,20:47,23.9*C,34.9%
01/21/21,20:48,23.9*C,34.9%
01/21/21,20:48,23.9*C,34.9%
01/21/21,20:49,23.9*C,34.9%
01/21/21,20:49,23.9*C,34.9%
01/21/21,20:50,23.9*C,34.9%
01/21/21,20:50,23.9*C,34.9%
01/21/21,20:51,23.9*C,34.8%
01/21/21,20:51,23.9*C,34.8%
01/21/21,20:52,23.9*C,34.8%
01/21/21,20:52,23.9*C,34.7%
01/21/21,20:53,23.9*C,34.7%
01/21/21,20:53,24.0*C,34.8%
01/21/21,20:54,23.9*C,34.6%
01/21/21,20:54,24.0*C,34.7%
01/21/21,20:55,24.0*C,34.6%
01/21/21,20:55,24.0*C,34.7%
01/21/21,20:56,24.0*C,34.6%
01/21/21,20:56,24.0*C,34.6%
01/21/21,20:57,24.0*C,34.6%
01/21/21,20:57,24.0*C,34.6%
01/21/21,20:58,24.1*C,34.7%
01/21/21,20:58,24.1*C,34.8%
01/21/21,20:59,24.1*C,34.9%
01/21/21,20:59,24.1*C,34.6%
01/21/21,21:00,24.1*C,34.4%
01/21/21,21:00,24.1*C,34.3%
01/21/21,21:01,24.1*C,34.4%
01/21/21,21:01,24.1*C,34.4%
01/21/21,21:02,24.1*C,34.5%
01/21/21,21:02,24.1*C,34.5%
01/21/21,21:03,24.1*C,34.4%
01/21/21,21:03,24.1*C,34.3%
